Broad-Type	L_Kinase_G
HNSCC	SRPK
HNSCC	CDK
Endometrial	MLK
Ovarian	Sev
Ovarian	Sev
Colorectal	Sev
Colorectal	Sev
Colorectal	Ret
Stomach	Ret
Colorectal	Ret
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
Endometrial	ALK
HNSCC	ALK
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
HNSCC	Ret
HNSCC	Ret
HNSCC	Ret
HNSCC	Ret
HNSCC	Ret
HNSCC	Ret
HNSCC	Ret
HNSCC	Ret
HNSCC	Ret
HNSCC	Ret
HNSCC	Ret
HNSCC	Ret
HNSCC	Ret
Thyroid	VEGFR
Lung	CAMK2
Lung	RAF
HNSCC	CAMKL
Breast	Eph
HNSCC	RSK
HNSCC	RSKb
HNSCC	RSK
HNSCC	RSKb
HNSCC	RSK
HNSCC	RSKb
HNSCC	RSK
HNSCC	RSKb
HNSCC	RSK
HNSCC	RSKb
HNSCC	RSK
HNSCC	RSKb
HNSCC	RSK
HNSCC	RSKb
HNSCC	RSK
HNSCC	RSKb
Stomach	STE20
Stomach	Eph
Stomach	BRD
Stomach	ALK
Stomach	ALK
Stomach	ALK
Stomach	ALK
Stomach	ALK
Stomach	ALK
Sarcoma	ALK
Sarcoma	ALK
Sarcoma	ALK
Sarcoma	ALK
Sarcoma	ALK
Sarcoma	ALK
Sarcoma	ALK
Sarcoma	ALK
Sarcoma	ALK
Sarcoma	ALK
Sarcoma	ALK
Sarcoma	ALK
Sarcoma	ALK
Sarcoma	ALK
Sarcoma	ALK
Sarcoma	ALK
Sarcoma	ALK
Sarcoma	ALK
Sarcoma	ALK
Sarcoma	ALK
Sarcoma	ALK
Liver	STE11
Colorectal	STE20
Others	Alpha
HNSCC	VRK
Lung	LISK
Lung	Met
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Sarcoma	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Thyroid	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Breast	CAMKL
Breast	PKN
Thyroid	TLK
Thyroid	GRK
Thyroid	Sev
Thyroid	Sev
Thyroid	Sev
Thyroid	Sev
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Stomach	ALK
Lung	Sev
Lung	Sev
Stomach	Sev
Colorectal	Sev
Colorectal	Sev
Sarcoma	Sev
Lung	Sev
Lung	Sev
Lung	Sev
Lung	Sev
Lung	Sev
Lung	Sev
Lung	Sev
Lung	Sev
Lung	Sev
Lung	Sev
Lung	Sev
Stomach	Sev
Stomach	Sev
Liver	Sev
Liver	Sev
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
Breast	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
Breast	PKG
Sarcoma	CDK
Sarcoma	CDK
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
Lung	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
HNSCC	Trk
Stomach	DCAMKL
Liver	CAMKL
HNSCC	Aur
Thyroid	CDK
Thyroid	CAMKL
Stomach	RSK
Stomach	RSKb
Stomach	RSK
Stomach	RSKb
Stomach	RSK
Stomach	RSKb
Stomach	RSK
Stomach	RSKb
Colorectal	TLK
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
HNSCC	Ret
HNSCC	Ret
HNSCC	Ret
HNSCC	Ret
HNSCC	Ret
HNSCC	Ret
HNSCC	Ret
HNSCC	Ret
HNSCC	Ret
Others	Ret
Others	Ret
Others	Ret
Others	Ret
Others	Ret
Others	Ret
Others	Ret
Others	Ret
Others	Ret
Others	Ret
Others	ALK
Others	ALK
Urinary Bladder	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Thyroid	ALK
Colorectal	ALK
Colorectal	ALK
Colorectal	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Lung	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
Liver	ALK
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
HNSCC	Sev
Lung	TIF1
Endometrial	PKC
Colorectal	Aur
Lung	CAMKL
Lung	CAMKL
Others	Sev
Others	Sev
Others	Sev
Others	Sev
Others	Sev
Breast	Sev
Breast	Sev
Colorectal	Sev
Colorectal	Sev
Colorectal	Sev
Others	Sev
Others	Sev
Others	Sev
Others	Sev
Others	Sev
Others	Sev
Urinary Bladder	Sev
Urinary Bladder	Sev
Urinary Bladder	Sev
Urinary Bladder	Sev
Urinary Bladder	Sev
Urinary Bladder	Sev
Urinary Bladder	Sev
Urinary Bladder	Sev
Urinary Bladder	Sev
Liver	Sev
Liver	Sev
Liver	Sev
Liver	Sev
Liver	Sev
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	Ret
Thyroid	FAK
Thyroid	IKK
Colorectal	IKK
Breast	IKK
Colorectal	FAK
Colorectal	FAK
Sarcoma	PKC
Thyroid	PDGFR
Thyroid	CAMKL
Thyroid	CAMKL
Thyroid	Tec
Lung	LISK
Lung	NKF3
Sarcoma	Aur
